data;

set TASKS := E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 E13 E14 E15 E16 E17 E18 E19 E20 E21 E22 E23 E24 E25 E26 E27 E28 E29 E30 E31 E32 E33 E34 E35 E36 E37 E38 E39 E40 E41 E42 E43 E44 E45 E46 E47 E48 E49 E50 E51 E52 E53 E54 E55 E56 E57 E58 E59 E60 E61 E62 E63 E64 E65 E66 E67 E68 E69 E70 E71 E72 E73 E74 E75;
set WORKSTATIONS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80;

set PRECEDENCE := E1,E2
E1,E3
E1,E4
E1,E5
E1,E6
E1,E7
E2,E15
E3,E13
E3,E24
E4,E8
E4,E14
E4,E16
E5,E12
E5,E15
E6,E9
E6,E10
E6,E11
E6,E13
E9,E20
E9,E24
E10,E18
E12,E19
E13,E22
E15,E17
E15,E20
E15,E23
E16,E21
E16,E26
E17,E30
E18,E26
E18,E30
E20,E27
E21,E33
E24,E25
E25,E28
E25,E30
E25,E33
E25,E34
E26,E31
E26,E32
E26,E41
E27,E29
E27,E35
E27,E36
E31,E37
E31,E39
E32,E44
E32,E45
E33,E41
E35,E38
E35,E42
E36,E40
E36,E43
E39,E51
E40,E46
E42,E47
E43,E48
E43,E50
E46,E51
E46,E48
E47,E49
E47,E50
E47,E52
E47,E53
E49,E59
E49,E61
E49,E62
E50,E54
E50,E55
E50,E60
E50,E62
E52,E56
E52,E57
E53,E58
E55,E63
E58,E65
E59,E64
E59,E66
E62,E67
E66,E68
E68,E69
E68,E70
E68,E71
E68,E72
E68,E73
E68,E74
E68,E75;

param t:= E1 23
E2 24
E3 25
E4 26
E5 23
E6 22
E7 6
E8 22
E9 23
E10 21
E11 22
E12 15
E13 5
E14 23
E15 4
E16 26
E17 21
E18 5
E19 24
E20 25
E21 26
E22 26
E23 24
E24 27
E25 20
E26 23
E27 25
E28 13
E29 3
E30 11
E31 21
E32 22
E33 21
E34 22
E35 25
E36 8
E37 22
E38 24
E39 22
E40 21
E41 6
E42 26
E43 22
E44 6
E45 21
E46 25
E47 11
E48 22
E49 21
E50 25
E51 22
E52 22
E53 23
E54 22
E55 22
E56 25
E57 23
E58 21
E59 22
E60 22
E61 22
E62 22
E63 21
E64 27
E65 23
E66 2
E67 26
E68 25
E69 24
E70 22
E71 24
E72 4
E73 22
E74 10
E75 25;

param c:= 54;
end;
